	000001.sz	000002.sz	000009.sz	000024.sz	000039.sz	000069.sz	000400.sz	000401.sz	000402.sz	000425.sz	000536.sz	000562.sz	000581.sz	000598.sz	000623.sz	000629.sz	000630.sz	000656.sz	000686.sz	000728.sz
70	10.38	8.39	8.53	22.23	8.93	5.73	12.01	15.17	9.76	14.5	4.83	8.81	6.35	2.06	22.46	6.41	16.06	5.34	22.16	17
71	10.46	8.5	8.53	22.34	9.14	5.89	12.08	15.72	9.77	15.15	4.83	9.06	6.6	2.1	22.95	6.41	16.15	5.34	22.27	17
72	10.41	8.76	8.86	23.39	9.08	6.06	11.9	15.98	10.02	15.52	4.83	9.1	6.98	2.08	23.2	6.39	16.04	5.34	22.27	17.43
73	10.19	8.59	8.78	24.81	8.95	6.03	12.02	16	10.08	15.27	4.83	9.12	7.68	2.12	23.11	6.39	16.1	5.34	22.3	17.26
74	10.22	8.46	8.5	24.5	8.96	5.93	11.79	15.52	9.88	15.27	4.83	9.11	7.43	2.09	22.38	6.39	16.25	5.34	22.35	17.19
75	9.93	8.43	8.18	24.35	8.73	5.93	11.92	15.18	9.93	15.3	4.83	9.31	7.62	2.06	22.52	6.39	15.39	5.34	23.23	17.69
76	10.09	8.54	8.37	24.35	8.73	6.01	12	15.31	10.03	15.05	4.83	9.36	7.17	2.16	22.15	6.41	15.49	5.34	23.3	18
77	9.87	8.39	8.18	23.9	8.8	6.09	12.65	14.95	9.73	14.45	4.83	9.02	6.91	2.12	22.02	6.44	14.92	5.34	22.78	17.43
78	9.54	8.15	7.62	23	8.53	5.74	11.75	14.6	9.33	13.64	4.83	8.4	6.61	2	20.96	6.47	13.93	5.34	22.55	16.3
79	9.51	8.19	7.87	23.22	8.44	5.91	11.47	14.92	9.45	14.04	4.83	8.54	6.84	1.97	21.22	6.47	14.8	5.34	22.37	16.45
80	9.58	8.08	7.68	22.66	8.36	5.72	11.1	15.5	9.36	14.25	4.83	8.36	6.65	2.01	20.9	6.47	14.28	5.34	21.85	16.19
81	9.47	8	7.33	21.8	8.17	5.43	10.54	14.9	9.36	14.25	4.83	8.1	6.29	1.9	19.88	6.47	14.37	5.34	20.75	15.25
82	9.75	7.98	7.48	22.44	8.32	5.51	10.63	14.9	9.41	13.86	4.83	8.59	6.36	1.93	20.5	6.47	14.5	5.34	21.65	15.59
83	10.32	8.3	7.91	23.9	8.46	5.9	10.92	15.3	9.75	13.64	4.83	8.7	6.67	2.01	21.17	6.47	14.91	5.34	22.16	15.92
84	10.2	8.48	8.09	25.36	8.44	6.09	10.85	16.41	10.04	15.01	4.83	8.74	6.89	2.09	21.43	6.47	15.4	5.34	22.25	15.76
85	10.2	8.48	8.09	25.36	8.44	6.09	10.85	16.41	10.04	15.01	4.83	8.74	6.89	2.09	21.43	6.47	15.4	5.34	22.25	15.76
86	10.48	8.8	8.27	26.46	8.72	6.36	11.07	16.71	10.37	15.32	4.83	9.47	7.21	2.11	22.08	6.47	16.23	5.34	23.45	16.4
87	10.49	9.04	8.29	27.88	8.73	6.44	11.17	16.9	10.42	15.5	4.83	9.31	7.3	2.11	21.79	6.47	15.9	5.34	23.5	16.5
88	10.78	9.16	9.11	28.98	8.85	6.86	11.15	16.67	10.99	15.43	4.83	9.37	7.45	2.12	21.44	6.12	16.24	5.34	23.56	16.61
89	11.22	9.12	8.86	29.1	8.75	7.21	11.08	15.97	10.89	15	4.83	9.47	7.46	2.31	21.27	5.75	16.59	5.34	23.58	16.96
90	11.36	9.84	8.97	30.25	8.94	7.33	10.66	15.97	11.42	14.65	4.83	9.65	7.7	2.31	21.27	5.77	16.41	5.34	23.91	17
91	11.03	9.8	8.27	27.81	8.72	6.92	10.15	15.08	10.61	13.98	4.83	9.3	7.53	2.15	21.94	5.65	15.57	5.34	23.5	16.4
92	11.19	10.46	8.57	28.9	8.87	7.34	10.37	15.36	10.99	14.21	4.83	9.44	7.53	2.23	22.21	5.69	15.84	5.34	24.18	16.52
93	11.15	10.36	8.39	29.28	9.12	7.33	10.23	15.22	10.94	13.99	4.83	9.96	7.65	2.18	23.69	5.65	16.19	5.34	25.14	17.18
94	10.89	10.41	8.52	29.6	9	7.22	10.73	15.25	10.89	14.4	4.83	10.05	7.66	2.13	23.72	5.52	15.94	5.34	25.14	17.05
