,Comcd,Enddt,QVal,,Year10,Year11,Year12,Year13
409,c000040,2010,1.507109,,1,0,0,0
410,c000040,2011,1.23109,,0,1,0,0
411,c000040,2013,1.039794,,0,0,0,1
412,c000042,2003,0.869487,,0,0,0,0
413,c000042,2004,0.806685,,0,0,0,0
414,c000042,2005,0.880051,,0,0,0,0
415,c000042,2006,1.09392,,0,0,0,0
416,c000042,2007,1.293499,,0,0,0,0
417,c000042,2008,0.901696,,0,0,0,0
418,c000042,2009,1.41278,,0,0,0,0
419,c000042,2010,1.138684,,1,0,0,0
420,c000042,2011,0.984754,,0,1,0,0
421,c000042,2012,1.085503,,0,0,1,0
422,c000042,2013,1.198474,,0,0,0,1
423,c000043,2003,1.148201,,0,0,0,0
424,c000043,2004,1.017041,,0,0,0,0
425,c000043,2005,0.911302,,0,0,0,0
426,c000043,2006,1.006312,,0,0,0,0
427,c000043,2007,1.134647,,0,0,0,0
428,c000043,2008,0.627209,,0,0,0,0
429,c000043,2009,0.838203,,0,0,0,0
430,c000043,2010,0.900074,,1,0,0,0
431,c000043,2011,0.676864,,0,1,0,0
432,c000043,2012,0.848261,,0,0,1,0
433,c000043,2013,0.790052,,0,0,0,1
434,c000045,2003,1.084577,,0,0,0,0
435,c000045,2004,1.148695,,0,0,0,0
436,c000045,2005,0.966284,,0,0,0,0
437,c000045,2006,0.989044,,0,0,0,0
438,c000045,2007,1.441714,,0,0,0,0
439,c000045,2008,1.221709,,0,0,0,0
440,c000045,2009,3.9751,,0,0,0,0
441,c000045,2010,2.495522,,1,0,0,0
442,c000045,2011,1.601117,,0,1,0,0
443,c000045,2012,1.134624,,0,0,1,0
444,c000045,2013,1.303135,,0,0,0,1
445,c000046,2003,0.947511,,0,0,0,0
446,c000046,2004,0.87822,,0,0,0,0
447,c000046,2005,0.868029,,0,0,0,0
448,c000046,2006,1.358202,,0,0,0,0
449,c000046,2007,2.026937,,0,0,0,0
450,c000046,2008,0.738877,,0,0,0,0
451,c000046,2009,1.014539,,0,0,0,0
452,c000046,2010,0.988281,,1,0,0,0
453,c000046,2011,1.37779,,0,1,0,0
454,c000046,2012,1.428868,,0,0,1,0
455,c000046,2013,1.205271,,0,0,0,1
456,c000048,2003,1.082816,,0,0,0,0
457,c000048,2004,1.038303,,0,0,0,0
458,c000048,2005,0.971528,,0,0,0,0
464,c000048,2011,2.848083,,0,1,0,0
465,c000048,2012,2.460002,,0,0,1,0
466,c000048,2013,3.514977,,0,0,0,1
467,c000049,2003,1.62409,,0,0,0,0
468,c000049,2004,1.270509,,0,0,0,0
469,c000049,2005,1.246244,,0,0,0,0
470,c000049,2006,1.230887,,0,0,0,0
471,c000049,2007,1.829833,,0,0,0,0
472,c000049,2008,1.392817,,0,0,0,0
473,c000049,2009,1.976294,,0,0,0,0
474,c000049,2010,4.771548,,1,0,0,0
475,c000049,2011,2.568938,,0,1,0,0
476,c000049,2012,2.885076,,0,0,1,0
477,c000049,2013,3.547056,,0,0,0,1
478,c000050,2003,1.190882,,0,0,0,0
